"key","collection","code","number","totalRows","variantCount","titleVariantCount","lyricsVariantCount","rowIds","titles","lyricsHashes"
"CAN|CAN1|1","CAN","CAN1","1","3","3","2","3","985|3786|6001","Meenya Ngyirama Apem Matow Ndwom || Meenya Ngyirama Apem Matow Ndwom || Dɛn na memfa nyi me Nyame ayɛ","234fbbe12d79|c9d10bf68b78|9b9dca8ea772"
"CAN|CAN2|2","CAN","CAN2","2","2","2","1","2","986|3787","Nyimpa A Hom Wo Wiadze Nyina || Nyimpa A Hom Wo Wiadze Nyina","e72c12d7f960|be8129371a04"
"CAN|CAN3|3","CAN","CAN3","3","2","2","1","2","987|3788","Wi N' ase Abodze Nyina || Wi N' ase Abodze Nyina","81d8609c0580|5e3ad10be4f1"
"CAN|CAN4|4","CAN","CAN4","4","2","2","1","2","988|3789","Domankoma ! Wo Sor Tsebea || Domankoma ! Wo Sor Tsebea","f7a3a05a9a99|66a00dea5625"
"CAN|CAN5|5","CAN","CAN5","5","2","2","1","2","989|3790","Hom Nkotow Hen Nyimnyamfo A Owo Sor || Hom Nkotow Hen Nyimnyamfo A Owo Sor","603afac404e6|f047818a1c12"
"CAN|CAN6|6","CAN","CAN6","6","2","2","1","2","990|3791","O Sor Ewuradze Wo Kronkronye Feefew Mu || O Sor Ewuradze Wo Kronkronye Feefew Mu","aa216b28413e|0aff644932e9"
"CAN|CAN7|7","CAN","CAN7","7","2","2","1","2","991|3792","Hen 'Koma, Nsa, Nye Ndze || Hen 'Koma, Nsa, Nye Ndze","a81ff6101f56|0e0d52ce4045"
"CAN|CAN8|8","CAN","CAN8","8","2","2","1","2","992|3793","Me Kra, Yi Osor Hen Ayew || Me Kra, Yi Osor Hen Ayew","6c2c6b80c4cd|bea3b09db08a"
"CAN|CAN9|9","CAN","CAN9","9","2","2","1","2","993|3794","Wonyi Nyame Hen Ayew || Wonyi Nyame Hen Ayew","d6ff83bf3c66|80cb791967ab"
"CAN|CAN10|10","CAN","CAN10","10","2","2","1","2","994|3795","Nyimnyam Hen, Asomdwee Hen || Nyimnyam Hen, Asomdwee Hen","3fcc8f4d4a10|0221c5c5d129"
"CAN|CAN11|11","CAN","CAN11","11","2","2","1","2","995|3796","Hen Nyame N' abodze Nyina || Hen Nyame N' abodze Nyina","9ca51a887e9b|5244d7c40608"
"CAN|CAN12|12","CAN","CAN12","12","2","2","1","2","996|3797","Kronkron, Kronkron, Kronkron, Otumfo Nyankopon || Kronkron, Kronkron, Kronkron, Otumfo Nyankopon","7567667327f1|3b8f17943c8d"
"CAN|CAN13|13","CAN","CAN13","13","2","2","1","2","997|3798","Osor Egya A Wo Do Kese N || Osor Egya A Wo Do Kese N","de369202e34c|78dc00b8f85b"
"CAN|CAN14|14","CAN","CAN14","14","2","2","1","2","998|3799","Ewuradze Nye Mo Guanhwefo || Ewuradze Nye Mo Guanhwefo","a2292307b594|a3300bfe711a"
"CAN|CAN15|15","CAN","CAN15","15","2","2","1","2","999|3800","Hwe, Bow Mpetsema Hyenhyenn || Hwe, Bow Mpetsema Hyenhyenn","54e1c57c40bb|5f1a8040bf68"
"CAN|CAN16|16","CAN","CAN16","16","2","2","1","2","1000|3801","Ayeyi Nka Ewuradze, Tumfo, Abodze Nyina Hen || Ayeyi Nka Ewuradze, Tumfo, Abodze Nyina Hen","f8da85ffbacb|0be09f0c9ecd"
"CAN|CAN17|17","CAN","CAN17","17","2","2","1","2","1001|3802","Oyi Nye Nyame A Yesor No N || Oyi Nye Nyame A Yesor No N","2f244a10e784|b0e4def69d7b"
"CAN|CAN18|18","CAN","CAN18","18","2","2","1","2","1002|3803","Me Nyame, Mbre Dua Ye Nwanwa A || Me Nyame, Mbre Dua Ye Nwanwa A","218dcd36a470|b40a0f7b5e1a"
"CAN|CAN19|19","CAN","CAN19","19","2","2","1","2","1003|3804","Odo Hen Nye Mo Guanhwefo || Odo Hen Nye Mo Guanhwefo","8f733e5b2748|3fecc465bdbe"
"CAN|CAN20|20","CAN","CAN20","20","2","2","1","2","1004|3805","Minsi Den Mondo Me Nyame || Minsi Den Mondo Me Nyame","dd3622833d96|7d9a5b1e2a24"
"CAN|CAN21|21","CAN","CAN21","21","2","2","1","2","1005|3806","Enyimnyam Nye Ntonton Nka || Enyimnyam Nye Ntonton Nka","718b6d016a96|3b2cea2eeb17"
"CAN|CAN22|22","CAN","CAN22","22","2","2","1","2","1006|3807","Nkorofo Nyina Nhua Jesus Dzin || Nkorofo Nyina Nhua Jesus Dzin","f05d2d546c2d|64b90f1b84d5"
"CAN|CAN23|23","CAN","CAN23","23","2","2","1","2","1007|3808","Jesus Dzin Bo Adze Nyina Do || Jesus Dzin Bo Adze Nyina Do","d008afcb864f|26258cc5f580"
"CAN|CAN24|24","CAN","CAN24","24","2","2","1","2","1008|3809","Eguambaa Bi, Nkwagye Dzin Bi || Eguambaa Bi, Nkwagye Dzin Bi","83ea3dfb2f98|daf9d68fb42f"
"CAN|CAN25|25","CAN","CAN25","25","2","2","1","2","1009|3810","Mbre Jesus Ne Dzin Dua Ye Dew || Mbre Jesus Ne Dzin Dua Ye Dew","0294e642ed4e|293334566ae3"
"CAN|CAN26|26","CAN","CAN26","26","2","2","1","2","1010|3811","Pomfo Kese, Nyame Eguambaa || Pomfo Kese, Nyame Eguambaa","8365810f590f|16f9575507e5"
"CAN|CAN27|27","CAN","CAN27","27","2","2","1","2","1011|3812","Jesu, Wo Ho Adwen Nko Mpo || Jesu, Wo Ho Adwen Nko Mpo","8872dcef2abe|08f900cdd84c"
"CAN|CAN28|28","CAN","CAN28","28","2","2","1","2","1012|3813","Jesu, 'Koma Doyefo Hon Dew || Jesu, 'Koma Doyefo Hon Dew","2c9d7b1d4ef5|2d45b507da80"
"CAN|CAN29|29","CAN","CAN29","29","2","2","1","2","1013|3814","Jesu, Me Kra No Dofo || Jesu, Me Kra No Dofo","6465d5252669|a43ff262d4d7"
"CAN|CAN30|30","CAN","CAN30","30","2","2","1","2","1014|3815","Jesus, Hen Guanhwefo || Jesus, Hen Guanhwefo","db6c4c6c2798|9e98751a1f21"
"CAN|CAN31|31","CAN","CAN31","31","2","2","1","2","1015|3816","Mbre Mudua Do Jesus || Mbre Mudua Do Jesus","3dc1cc5e51c3|58985adfdc19"
"CAN|CAN32|32","CAN","CAN32","32","2","2","1","2","1016|3817","Tsie ! Abofo Ruhua De || Tsie ! Abofo Ruhua De","d14061cae9b6|db4c57926628"
"CAN|CAN33|33","CAN","CAN33","33","2","2","1","2","1017|3818","Agyedzifo, Hom Mbra || Agyedzifo, Hom Mbra","9895af1d448e|8e315c3d6b5c"
"CAN|CAN34|34","CAN","CAN34","34","2","2","1","2","1018|3819","O Christianfo, Hom Nnyan Na Adze Akye || O Christianfo, Hom Nnyan Na Adze Akye","ae672819cd37|1c67923f9ec6"
"CAN|CAN35|35","CAN","CAN35","35","2","2","1","2","1019|3820","Adzekyee Mba Nyinara Mu Dansewa || Adzekyee Mba Nyinara Mu Dansewa","a2202a2eaf25|d5950115c183"
"CAN|CAN36|36","CAN","CAN36","36","2","2","1","2","1020|3821","Hwe, Woawo Nyame Eguambaa A || Hwe, Woawo Nyame Eguambaa A","548908f51ded|baf80341ba2d"
"CAN|CAN37|37","CAN","CAN37","37","2","2","1","2","1021|3822","Anago Bi Na Nguanhwefo || Anago Bi Na Nguanhwefo","183fc2092dfb|bde22d3bdd00"
"CAN|CAN38|38","CAN","CAN38","38","2","2","1","2","1022|3823","Osor Do No okron Dodow || Osor Do No okron Dodow","d44135da4d4a|ee0e30b352a1"
"CAN|CAN39|39","CAN","CAN39","39","2","2","1","2","1023|3824","Adom Nwanwa, Woawo N' ampa || Adom Nwanwa, Woawo N' ampa","5e1be05ba64d|6351f08f876b"
"CAN|CAN40|40","CAN","CAN40","40","2","2","1","2","1024|3825","Igyaa W' ahengua || Igyaa W' ahengua","3bcb77888978|4c0417586e52"
"CAN|CAN41|41","CAN","CAN41","41","2","2","1","2","1025|3826","Woana Na N-guanhwefo || Woana Na N-guanhwefo","06f3fd861d1e|1507bd9488aa"
